Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
20426102,"Nice Dragons Finish Last (Heartstrikers, #1)",Rachel Aaron,"Aaron, Rachel",,"=""1952367379""","=""9781952367373""",0,4.10,Aaron/Bach,Kindle Edition,287,2014,2014,,2024/06/04,to-read,to-read (#895),to-read,,,,0,0
60099237,Before We Were Trans: A New History of Gender,Kit Heyam,"Heyam, Kit",,"=""1541603087""","=""9781541603080""",0,4.29,Seal Press,Hardcover,343,2022,2022,,2024/06/02,to-read,to-read (#894),to-read,,,,0,0
51226337,余污 [Yu Wu],Rou Bao Bu Chi Rou,"Rou, Rou Bao Bu Chi","肉包不吃肉, Meatbun Doesn't Eat Meat","=""""","=""""",0,4.42,jjwxc,Web Novel,3165,2019,2018,,2024/06/02,to-read,to-read (#893),to-read,,,,0,0
16181775,"The Rosie Project (Don Tillman, #1)",Graeme Simsion,"Simsion, Graeme",,"=""1476729085""","=""9781476729084""",0,4.02,Simon & Schuster,Hardcover,292,2013,2013,,2024/05/31,to-read,to-read (#892),to-read,,,,0,0
30687731,Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right,Jane Mayer,"Mayer, Jane",,"=""0307947904""","=""9780307947901""",0,4.30,Anchor,Paperback,576,2017,2016,,2022/12/06,currently-reading,currently-reading (#1),currently-reading,,,,1,0
224127,The Israel Lobby and U.S. Foreign Policy,John J. Mearsheimer,"Mearsheimer, John J.",Stephen M. Walt,"=""0374177724""","=""9780374177720""",0,4.05,"Farrar, Straus and Giroux",Hardcover,484,2007,2006,,2024/05/31,to-read,to-read (#891),to-read,,,,0,0
197108968,The Family Experiment,John Marrs,"Marrs, John",,"=""1335000364""","=""9781335000361""",0,4.37,Hanover Square Press,Hardcover,384,2024,2024,,2024/05/31,to-read,to-read (#890),to-read,,,,0,0
204469230,"Of Blood and Aether (Harbingers, #1)",Harper Hawthorne,"Hawthorne, Harper",,"=""""","=""""",0,4.32,,Kindle Edition,607,2024,2024,,2024/05/31,to-read,to-read (#889),to-read,,,,0,0
54615850,"""Prisons Make Us Safer"": And 20 Other Myths about Mass Incarceration",Victoria Law,"Law, Victoria",,"=""0807029521""","=""9780807029527""",0,4.25,Beacon Press,Paperback,240,2021,2021,,2024/05/31,to-read,to-read (#888),to-read,,,,0,0
124961437,Some People Need Killing: A Memoir of Murder in My Country,Patricia Evangelista,"Evangelista, Patricia",,"=""0593133137""","=""9780593133132""",0,4.19,Random House,Hardcover,428,2023,2023,,2024/05/31,to-read,to-read (#887),to-read,,,,0,0
205055893,"Till Death (The Never Sky, #1)",Miranda Lyn,"Lyn, Miranda",,"=""""","=""9798988070757""",0,4.05,,Kindle Edition,644,2024,,,2024/05/31,to-read,to-read (#886),to-read,,,,0,0
62145801,Guardian: Zhen Hun (Novel) Vol. 1,Priest,"Priest, Priest",,"=""1638589364""","=""9781638589365""",0,4.30,Seven Seas,Paperback,412,2023,,,2024/05/31,to-read,to-read (#885),to-read,,,,0,0
177613583,Peach Blossom Debt,Da Feng Gua Guo,"Guo, Da Feng Gua",Xia,"=""1956609059""","=""9781956609059""",0,3.79,Peach Flower House,Paperback,424,2023,2007,,2024/05/31,to-read,to-read (#884),to-read,,,,0,0
49817747,"Smoke and Stone (City of Sacrifice, #1)",Michael R. Fletcher,"Fletcher, Michael R.",,"=""""","=""""",0,3.92,Michael R. Fletcher,Kindle Edition,335,2019,2019,,2024/05/31,to-read,to-read (#883),to-read,,,,0,0
36316854,The Terror,Dan Simmons,"Simmons, Dan",,"=""085750391X""","=""9780857503916""",0,4.08,Bantam Books (Transworld Publishers a division of,Paperback,940,2018,2007,,2024/05/31,to-read,to-read (#882),to-read,,,,0,0
30078567,"The Collapsing Empire (The Interdependency, #1)",John Scalzi,"Scalzi, John",,"=""0765388898""","=""9780765388896""",0,4.12,Tor Books,ebook,336,2017,2017,,2022/12/08,currently-reading,currently-reading (#2),currently-reading,,,,1,0
55386503,Golden Stage,苍梧宾白 [Cang Wu Bin Bai],"Bai], 苍梧宾白 [Cang Wu Bin",苍梧宾白,"=""""","=""""",0,4.23,jjwxc,,580,2018,2018,,2024/05/30,to-read,to-read (#881),to-read,,,,0,0
41832245,The Scum Villain’s Self-Saving System [人渣反派自救系统],Mò Xiāng Tóng Xiù,"Xiù, Mò Xiāng Tóng",墨香铜臭,"=""""","=""""",5,4.00,jjwxc,Webnovel,1114,2015,2015,2024/05/30,2024/02/19,,,read,"The ending was oddly abrupt, but I had a great time! 4.5 stars.",,,1,0
20820994,I'll Give You the Sun,Jandy Nelson,"Nelson, Jandy",,"=""0803734964""","=""9780803734968""",0,4.16,Dial Books,Hardcover,371,2014,2014,,2024/05/29,to-read,to-read (#880),to-read,,,,0,0
25330114,Beijing Comrades,Beijing Tongzhi,"Tongzhi, Beijing","Bei Tong, Scott E. Myers, Petrus Liu","=""1558619070""","=""9781558619074""",0,3.94,The Feminist Press at CUNY,Paperback,384,2016,1998,,2024/05/29,to-read,to-read (#879),to-read,,,,0,0
59891859,Refusing Compulsory Sexuality: A Black Asexual Lens on Our Sex-Obsessed Culture,Sherronda J. Brown,"Brown, Sherronda J.","Hess Love, Grace B Freedom","=""1623177103""","=""9781623177102""",0,4.53,North Atlantic Books,Paperback,240,2022,2022,,2024/05/29,to-read,to-read (#878),to-read,,,,0,0
25740412,"The Black Witch (The Black Witch Chronicles, #1)",Laurie Forest,"Forest, Laurie",,"=""0373212313""","=""9780373212316""",0,4.09, Harlequin Teen,Hardcover,601,2017,2017,,2024/05/27,to-read,to-read (#877),to-read,,,,0,0
60625859,"Little Mushroom: Revelations (Little Mushroom, #2)",Shisi,"Shisi, Shisi","一十四洲, Xiao","=""1956609997""","=""9781956609998""",4,4.55,Peach Flower House,Paperback,396,2022,2022,2024/05/26,2024/05/25,,,read,,,,1,0
62145799,"Stars of Chaos: Sha Po Lang, Vol. 1",Priest,"Priest, Priest",,"=""1638589313""","=""9781638589310""",0,4.21,Seven Seas,Paperback,452,2023,2016,,2024/05/26,to-read,to-read (#876),to-read,,,,0,0
60478042,Little Mushroom: Judgment Day,Shisi,"Shisi, Shisi",,"=""""","=""""",5,4.59,Peach Flower House LLC,Kindle Edition,402,2022,2022,2024/05/25,2022/12/11,,,read,,,,1,0
51042792,Fleabag: The Scriptures,Phoebe Waller-Bridge,"Waller-Bridge, Phoebe",,"=""1529394805""","=""9781529394801""",0,4.88,Ballantine Books,Hardcover,368,2019,2019,,2024/05/25,to-read,to-read (#875),to-read,,,,0,0
122765708,The Last Bloodcarver,Vanessa Le,"Le, Vanessa",,"=""1250881528""","=""9781250881526""",0,4.04,Roaring Brook Press,Hardcover,384,2024,2024,,2024/05/25,to-read,to-read (#874),to-read,,,,0,0
38561954,American Prison: A Reporter's Undercover Journey into the Business of Punishment,Shane Bauer,"Bauer, Shane",,"=""0735223580""","=""9780735223585""",5,4.23,Penguin Press,Hardcover,351,2018,2018,2024/05/24,2022/12/06,,,read,,,,1,0
18210750,Quantum Mechanics: The Theoretical Minimum (Theoretical Minimum #2),Leonard Susskind,"Susskind, Leonard",Art Friedman,"=""0465036678""","=""9780465036677""",0,4.32,Basic Books,Hardcover,364,2014,2014,,2024/05/24,to-read,to-read (#873),to-read,,,,0,0
53759101,"Hall of Smoke (The Four Pillars, #1)",H.M. Long,"Long, H.M.",,"=""1789094984""","=""9781789094985""",0,3.78,Titan Books,Paperback,432,2021,2021,,2022/12/05,interested,interested (#17),interested,,,,0,0
674749,The Ordinary Princess,M.M. Kaye,"Kaye, M.M.",,"=""0142300853""","=""9780142300855""",4,4.21,Puffin Books,Paperback,112,2002,1980,2024/05/23,2024/05/02,,,read,,,,1,0
767171,The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,"Shirer, William L.",,"=""0671728687""","=""9780671728687""",0,4.21,Simon & Schuster,Mass Market Paperback,1147,1990,1960,,2024/05/23,to-read,to-read (#872),to-read,,,,0,0
60759266,This Time It's Real,Ann Liang,"Liang, Ann",,"=""1338827111""","=""9781338827118""",5,4.02,Scholastic Press,Hardcover,352,2023,2023,2024/05/22,2022/12/08,,,read,RAAAHHHHHHHHHH!!!!!!!!!,,,1,0
37794149,"A Memory Called Empire (Teixcalaan, #1)",Arkady Martine,"Martine, Arkady",,"=""1529001587""","=""9781529001587""",0,4.12,Tor,Paperback,462,2019,2019,,2022/08/20,dnf,dnf (#2),dnf,DNF at 60%. World is incredibly interesting but the plot just drags. I enjoy reading about the world building but I just can’t make myself interested in the plot. Maybe I’ll come back to it some day. Other reviewers have said better what I believe.,,,1,0
35068674,Onyx and Ivory,Mindee Arnett,"Arnett, Mindee",,"=""0062652680""","=""9780062652683""",0,3.81,Balzer + Bray,ebook,528,2018,2018,,2022/08/01,dnf,dnf (#1),dnf,"DNF at 75%. Romance is boring, plot is mind-numbingly slow. Singular highlight is the setting.",,,1,0
63024187,When Crack Was King: A People's History of a Misunderstood Era,Donovan X. Ramsey,"Ramsey, Donovan X.",,"=""0525511806""","=""9780525511809""",0,4.36,One World,Hardcover,448,2023,2023,,2024/05/22,to-read,to-read (#871),to-read,,,,0,0
124935969,"Glow of the Everflame (Kindred's Curse, #2)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,4.41,,Kindle Edition,637,2023,2023,,2024/05/21,dnf,dnf (#34),dnf,"DNF at 31%. Never mind, I've officially lost all tolerance for this series. The romance has no reason for its existence, the plot is practically non-existent (and it takes FOREVER to actually get anywhere in the plot), and every action that Diem (FMC) chooses reminds me of her complete and utter idiocy, along with her nonsensical arrogance. Diem constantly interrupts conversations when we're actually getting information, and is consistently aggravating and stubborn when it's about the worst decision she could make. She even acknowledges her rash decisions, but continues making them anyways?? Diem also chooses random people as her advisors, which is completely baffling. She also says that ""all the Descended are monsters"" when she is clearly friends with multiple of the Descended AND enjoys their presences?? She makes no sense and I literally can't keep reading this book because of her. Not going to force myself to finish a book I don't want to read.",,,1,0
152178939,"Spark of the Everflame: The Kindred's Curse Saga, Book One",Penn Cole,"Cole, Penn",,"=""""","=""9798988161707""",3,4.23,Penn Cole,Paperback,436,2023,2023,2024/05/21,2023/08/24,,,read,"This was generally fun to read, and it didn’t piss me off <i>too</i> much! (Low bar, I know.) However, the more that I think about this book, the more I'm disappointed with it, which is unfortunate. I think this could've been an extra 100-200 pages and it would've been far better with the pacing. This had a good amount of wasted potential.<br/><br/>One of the few things that were pissing me off was Diem’s attitude: there were so many times she should’ve just kept her mouth shut and head down. In any other book with actual consequences for insulting the (powerful) upper class repeatedly, she would’ve been in chains. Absolutely shocked how many times she mouthed off to literally everyone and was REWARDED for it. Or when she wasn’t rewarded, all the consequences for doing so are EXACTLY her fault! Can she just be not stupid for one second? Made no sense and made me so angry at how much of an idiot she is.<br/><br/>The other thing is (though I’m not surprised) is how… this basically isn’t enemies to lovers. People keep advertising their books as enemies to lovers when they’re really not. It’s basically just miscommunication and him being a little bit of a dick, sometimes, but not really. When are we going to get enemies to lovers that has actual ENEMIES? Moreover, there really wasn’t much of a slow burn. While I thought it was going to be slow initially, it started ramping up the pace pretty quickly and it was obvious the MMC felt something towards Diem (she was already attracted to him physically, which she couldn’t stop repeating in her thoughts), so… yeah. Not really that slow. <br/><br/>Actually, now that I think about it... there's literally no substance with the supposed romance between Luther and Diem. He, for some reason, enjoys her presence or likes her, but it's never explained why. They kiss, but they've genuinely interacted maybe about one hour in this entire book? Like, why is he the romantic interest when we know nothing about him and they don't have any kind of relationship? It's absolutely nonsensical and I'm hoping for some explanations in the next book.<br/><br/>The more I think about it, so much of this book feels like a nothing burger. The romance is barely there, we know she's obviously not getting with Henri, and she <spoiler>joins the rebels then immediately leaves them</spoiler>. The only thoroughly written part of this book is Diem's character arc. It doesn't help that she's constantly stupid. This book feels more like a build up than an actual plot... which is unfortunate. I really think this book had a lot of wasted potential and it could've been really good.<br/><br/>I still had a good amount of fun reading this. I wanted to see what would happen with Diem's <spoiler>powers</spoiler>, and I basically just wanted to see what would happen next. I kind of finished the book a little bit confused based on the lack of development with the romance. And as I said, pretty predictable. The romance is obvious, the group of rebels is repetitive, her not being a mortal is obvious, the ending became obvious… so if you’re looking for something surprising and mysterious, this is probably not your best bet. But for some reason, I still had fun. Overall, I’d give this 3.25 stars.",,,1,0
33385229,"They Both Die at the End (Death-Cast, #1)",Adam Silvera,"Silvera, Adam",,"=""0062457799""","=""9780062457790""",0,3.77,Quill Tree Books,Hardcover,389,2017,2017,,2024/05/21,to-read,to-read (#870),to-read,,,,0,0
52880778,"Red Rising (Red Rising, #1)",Pierce Brown,"Brown, Pierce",,"=""034553980X""","=""9780345539809""",0,4.27,Del Rey,Paperback,400,2014,2014,,2024/05/20,to-read,to-read (#869),to-read,,,,0,0
35504431,Turtles All the Way Down,John Green,"Green, John",,"=""0525555366""","=""9780525555360""",0,3.89,Dutton Books for Young Readers,Hardcover,290,2017,2017,,2024/05/17,to-read,to-read (#868),to-read,,,,0,0
207712471,A Bone in His Teeth,Kellen Graves,"Graves, Kellen",,"=""""","=""9798988807711""",0,4.69,Kellen Graves,ebook,414,2024,2024,,2024/05/17,to-read,to-read (#867),to-read,,,,0,0
28007898,Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy,Heather Ann Thompson,"Thompson, Heather Ann",,"=""0375423222""","=""9780375423222""",0,4.45,Pantheon,Hardcover,752,2016,2016,,2024/05/13,to-read,to-read (#866),to-read,,,,0,0
195791479,The Stardust Grail,Yume Kitasei,"Kitasei, Yume",,"=""1250875374""","=""9781250875372""",0,4.35,Flatiron Books,Hardcover,320,2024,2024,,2024/05/13,to-read,to-read (#865),to-read,,,,0,0
201626991,"Long Live Evil (Time of Iron, #1)",Sarah Rees Brennan,"Brennan, Sarah Rees",,"=""0316568716""","=""9780316568715""",0,4.02,Orbit,Paperback,464,2024,2024,,2024/05/13,to-read,to-read (#864),to-read,,,,0,0
201129898,"The Night Ends with Fire (The Night Ends with Fire, #1)",K.X. Song,"Song, K.X.",,"=""0593815726""","=""9780593815724""",0,4.05,Ace,Hardcover,432,2024,2024,,2024/05/13,to-read,to-read (#863),to-read,,,,0,0
58602395,"We Shall Be Monsters (We Shall be Monsters, #1)",Tara Sim,"Sim, Tara",,"=""0593407423""","=""9780593407424""",0,4.32,Nancy Paulsen Books,Hardcover,400,2024,2024,,2024/05/13,to-read,to-read (#862),to-read,,,,0,0
199087657,"Of Jade and Dragons (Fall of the Dragon, #1)",Amber Chen,"Chen, Amber",,"=""0593622758""","=""9780593622759""",0,3.91,Viking Books for Young Readers,Hardcover,480,2024,2024,,2024/05/13,to-read,to-read (#861),to-read,,,,0,0
196841933,The Wilderness of Girls,Madeline Claire Franklin,"Franklin, Madeline Claire",,"=""1638931003""","=""9781638931003""",0,4.62,Zando Young Readers,Hardcover,368,2024,2024,,2024/05/13,to-read,to-read (#860),to-read,,,,0,0
195888777,"Spin of Fate (The Fifth Realm, #1)",A.A. Vora,"Vora, A.A.",,"=""0593617568""","=""9780593617564""",0,4.09,G.P. Putnam's Sons Books for Young Readers,Hardcover,448,2024,2024,,2024/05/13,to-read,to-read (#859),to-read,,,,0,0
8922184,Want to Go Private?,Sarah Darer Littman,"Littman, Sarah Darer",,"=""0545151465""","=""9780545151467""",0,3.71,Scholastic Press,Hardcover,330,2011,2011,,2024/05/12,to-read,to-read (#858),to-read,,,,0,0
22590548,Narrative Of The Life Of Frederick Douglass,Frederick Douglass,"Douglass, Frederick",,"=""""","=""""",0,4.11,"Amazon Digital Services, Inc.",Kindle Edition,124,2014,1845,,2023/07/07,"up-next, to-read","up-next (#5), to-read (#857)",to-read,,,,1,0
40105739,If Cats Disappeared from the World,Genki Kawamura,"Kawamura, Genki",Eric Selland,"=""""","=""""",0,3.80,Flatiron Books,Kindle Edition,168,2019,2012,,2024/05/09,to-read,to-read (#856),to-read,,,,0,0
63308923,"Nectar of the Wicked (Deadly Divine, #1)",Ella Fields,"Fields, Ella",,"=""""","=""""",0,4.15,,Kindle Edition,338,2023,2023,,2024/05/09,to-read,to-read (#855),to-read,,,,0,0
296662,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,"Loewen, James W.",,"=""0684818868""","=""9780684818863""",0,3.97,"Touchstone Books/Simon & Schuster, Inc.",Paperback,383,1996,1995,,2024/05/09,to-read,to-read (#854),to-read,,,,0,0
58891551,Young Mungo,Douglas   Stuart,"Stuart, Douglas",,"=""0802159559""","=""9780802159557""",0,4.38,Grove Press,Hardcover,390,2022,2022,,2024/05/08,to-read,to-read (#853),to-read,,,,0,0
15835574,The Yellow Wallpaper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""1620110032""","=""9781620110034""",4,4.10,Duke Classics,ebook,17,2012,1892,2024/05/06,2024/04/05,,,read,,,,1,0
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",0,4.09,Ballantine Books,Kindle Edition,258,2008,1968,,2024/05/04,to-read,to-read (#852),to-read,,,,0,0
42595788,"When Dusk Comes (Dusk Queen, #1)",J.J. Arias,"Arias, J.J.",,"=""""","=""""",0,4.01,self-published,Kindle Edition,316,2019,2019,,2024/05/04,to-read,to-read (#851),to-read,,,,0,0
111673263,"Daughter of the Bone Forest (Witch Hall, #1)",Jasmine  Skye,"Skye, Jasmine",,"=""1250872456""","=""9781250872456""",0,4.37,Feiwel & Friends,Hardcover,432,2024,2024,,2024/05/02,to-read,to-read (#850),to-read,,,,0,0
48590066,The Only Plane in the Sky: An Oral History of 9/11,Garrett M. Graff,"Graff, Garrett M.",,"=""1501182218""","=""9781501182211""",0,4.72,Avid Reader Press,Paperback,528,2020,2019,,2024/05/02,to-read,to-read (#849),to-read,,,,0,0
191754348,"Rule of the Aurora King (Artefacts of Ouranos, #2)",Nisha J. Tuli,"Tuli, Nisha J.",,"=""1538767651""","=""9781538767658""",1,4.01,Forever,Paperback,512,2023,2023,2024/05/01,2024/04/15,,,read,"This book was so goddamn boring. This was basically ACOTAR but worse, and I'd rather read ACOTAR because I actually enjoyed ACOTAR. And at least ACOTAR had a plot!<br/><br/>We spend this book mostly focused on two POVs: Lor, and her grandmother from about 300 years ago, explaining </spoiler>how the Heart Kingdom shat itself,</spoiler> basically. 9/10ths of Lor's plot is entirely about her relationship with Nadir; the last 1/10th is about finding the Heart Crown, but it's honestly so flimsy and boring (and obvious that it's just being used to further the romantic development) that I literally didn't care about it. Which is unfortunate, because the romantic relationship was also so boring that I didn't care about that, either. Which left me with the other POV; which was initially boring, and then gradually got more interesting. Sadly that POV was only like 1/4 of the entire book. Did I mention this book was boring?<br/><br/>As for the specifics of the romance... I don't think I liked a single thing. This was barely enemies-to-lovers, since she was never his enemy, and she hated him for reasons that didn't really feel like they justified true hatred. He kidnapped her... but he also rescued her from Atlas? He's not torturing her, AND <spoiler>his friends brought her siblings back.</spoiler> And he's just being kind of dickish, not genuinely hurting her. Like, at the 30% mark there's literally no reason for us to call this enemies-to-lovers. Moreover, essentially the entire time they're basically eye-fucking each other (she even has a sex dream about him!), which eventually progresses to full out fucking by the 50% mark or so. Slow burn? Who's she? <br/><br/>He's also like a complete asshole to her in one scene where she flirts with a guy to get information; he gets EXTREMELY and nonsensically possessive and basically ruins their plan... and then he says she's basically ""spreading her legs"" for everyone or whatever. (What happens is he says she should go spread her legs for the other guy, and then asks if she did the same for Atlas.) He also calls her ""Inmate"" which is... just weird. And bad. And calling her a nickname that's related to her ten-year traumatizing stint as a prisoner, which she keeps referencing as something that was extremely traumatizing? I was absolutely not a fan and kind of icked out. These are not the traits of a love interest I like. <br/><br/>Speaking of weird/bad Nadir moments, here's some dialogue that sounded so strange: <i>""I am your worst nightmare, Inmate. But right now, I’m going to make you come so hard, you’re not going to care.""</i> It's the Inmate. ""I'm your worst nightmare""? If he actually were, it might be more interesting, but he's so obviously not that it just makes me grimace. (He also steals her underwear and doesn't give it back, making her walk around without it in public... it's only portrayed as fine because she's fine with it, even though she doesn't say so... but like, what the hell, bro? They're not even in a relationship yet to communicate this shit?!)<br/><br/>The two-dimensional-ness of every character has basically continued from the first book; while he does have some traits beyond ""she's so hot/I'm obsessed with her"" and ""I'm a mopey prince"" it's... not much. He's not very interesting and I don't care about him, so I didn't really care about the romance.<br/><br/>(As an aside, any conflict within the relationship kept being generated by stupid things he did? Hello? I don't like him.)<br/><br/>Lor, on the other hand... I guess I'm glad she's not stupid and naive? There were a few moments where I was like ""goddamnit"" but it wasn't her entire personality, which was nice. There was a moment where she went out to get <spoiler>her siblings from the prison while running through the freezing cold forest with no winter clothes... probably miles from the prison.</spoiler> It was extremely stupid, but that felt like pretty much the only colossally stupid thing she did. (I think my bar has become way too low for this genre.) So she was alright, but since her entire POV consisted of sleeping with and obsessing over Nadir... I didn't really care.<br/><br/>There was one part with Lor that really pissed me off, however, and it makes book one worse in retrospect. In this book, she says: <i>“For months, for years, he brought me into the Keep regularly—to the catacombs, as you called them. There, he tried everything he could to get my magic out of me. He tortured me and tormented me with his power.”</i> Um... doesn't this seem like an important thing to reveal in the first book? That she's been fucking tortured by the king himself? But noooo, we have to pretend that she had no idea what was going on the in the first book; she was just a Normal Human Girl! God, fuck me, I really can't deal with this series.<br/><br/>But there was that one bright spot in this entire book (and it's the entire reason I'm not giving this book a pure one star). The fact that we see the ancestor's POV (Serce) and we see her point of view and <spoiler>she's clearly doing bad things</spoiler> and we still sympathize with her is FUN! I <i>like</i> seeing her <spoiler>destroy everything around her</spoiler> because at least it's interesting. The ending was actually something I didn't expect and that made me not hate the entire book. I did want to see what was going to happen next in the series, but I managed to find spoilers in other reviews and now I don't care. This book was not worth it and I only finished it to give it a bad review. 1.5 stars rounded down.",,,1,0
203048536,"Lords of the Hunt (Wilde Fae, #1)",Kate   King,"King, Kate",,"=""""","=""""",0,4.05,,Hardcover,412,2023,2023,,2024/05/01,to-read,to-read (#848),to-read,,,,0,0
33786693,No Visible Bruises: What We Don’t Know About Domestic Violence Can Kill Us,Rachel Louise Snyder,"Snyder, Rachel Louise",,"=""""","=""""",0,4.50,Bloomsbury,Hardcover,320,2019,2019,,2024/05/01,to-read,to-read (#847),to-read,,,,0,0
60683957,Check & Mate,Ali Hazelwood,"Hazelwood, Ali",,"=""0593619919""","=""9780593619919""",0,3.99,G.P. Putnam's Sons Books for Young Readers,Paperback,352,2023,2023,,2024/05/01,to-read,to-read (#846),to-read,,,,0,0
195790755,"The Silverblood Promise (The Last Legacy, #1)",James   Logan,"Logan, James",,"=""1250345804""","=""9781250345806""",0,4.11,Tor,Paperback,528,2024,2024,,2024/04/30,to-read,to-read (#845),to-read,,,,0,0
52778479,"Crush (Crave, #2)",Tracy Wolff,"Wolff, Tracy",,"=""""","=""""",5,4.26,Entangled: Teen,Hardcover,704,2020,2020,,2021/05/21,,,read,,,,2,0
133938782,Heavenbreaker,Sara Wolf,"Wolf, Sara",,"=""1649375700""","=""9781649375704""",0,4.08,Entangled: Red Tower Books,Hardcover,448,2024,2024,,2024/04/29,to-read,to-read (#844),to-read,,,,0,0
43314707,Unfollow: A Journey from Hatred to Hope,Megan Phelps-Roper,"Phelps-Roper, Megan",,"=""""","=""""",0,4.16,riverrun,Kindle Edition,305,2019,2019,,2024/04/27,to-read,to-read (#843),to-read,,,,0,0
60896186,Married Thrice to Salted Fish 三嫁咸鱼,比卡比,"比卡比, 比卡比",,"=""""","=""""",0,4.45,jjwxc,Web Novel,1332,2021,,,2024/04/27,to-read,to-read (#842),to-read,,,,0,0
209563735,Death in the Spires,K.J. Charles,"Charles, K.J.",,"=""1805082280""","=""9781805082286""",0,4.49,Storm Publishing,Kindle Edition,273,2024,2024,,2024/04/24,to-read,to-read (#841),to-read,,,,0,0
63342028,"Queen of Roses (Blood of a Fae, #1)",Briar Boleyn,"Boleyn, Briar",,"=""""","=""""",0,3.87,Starwater Press,Kindle Edition,361,2023,2023,,2024/04/23,to-read,to-read (#840),to-read,,,,0,0
62558782,"War Widow (Blood Scion, #2)",Deborah Falaye,"Falaye, Deborah",,"=""0062954075""","=""9780062954077""",0,4.47,HarperTeen,Hardcover,432,2025,2025,,2022/03/10,to-read,to-read (#3),to-read,,,,0,0
